"International Name";"Name of NCA";"Home Country";"Identification code";"LEI";"Official name of the entity";"Cross border status";"EU Country where the entity operates";"Local/Commercial name";"Registration start date";"Registration end date";"Street Name";"Street Number";"Post Code";"City";"County";"Website address";"Operation Start Date";"Operation End Date";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"BE";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"CY";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"CZ";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"BE";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"CY";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"EE";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"EL";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"DE";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"CZ";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSNL";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"EE";"";"22/12/2017 00:00:00";"";"150 Antonio Vivaldistraat - Cross Towers";"";"1083 HP";"AMSTERDAM";"";"";"22/12/2017 00:00:00";"";
"FM INSURANCE EUROPE S.A.";"Commissariat aux Assurances (CAA)";"LU";"AFMINSIT";"222100GPK3TXH3YGOB37";"FM INSURANCE EUROPE S.A.";"FPS for EEA Branches";"DE";"";"22/12/2017 00:00:00";"";"Via Mike Bongiorno, 13";"";"20124";"MILANO";"";"";"22/12/2017 00:00:00";"";
